"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
"Ready for BioData Management",https://biodata.pt/training/programmes/r4bdm,,"ELIXIR Portugal",,,"Ready for BioData Management? is a capacity building program in data management for the life sciences to empower researchers and institutions in managing their data more effectively and efficiently.","Daniel Faria, João Cardoso",,
REALPHY,https://realphy.unibas.ch/realphy/,,"ELIXIR Switzerland","Evolution and phylogeny",,"REALPHY - The Reference sequence Alignment based Phylogeny builder is a free online pipeline that can infer phylogenetic trees from whole genome sequence data. The user only has to provide genome sequences in FASTA, GenBank or FASTQ formats. From these sequences phylogenetic trees are inferred via PhyML. The alignments, tree files and information on SNPs and deleted sites are available for download after the analysis is finished.",,https://bio.tools/realphy,
"ReCaS Platform as a Service (PaaS)",https://www.recas-bari.it/index.php/en/recas-bari-services/cloud-recas-saas,,"ELIXIR Italy",,,"A PaaS based dashboard to instantiate complex cluster of services in the ReCaS-Bari data center","Giacinto Donvito",,
"Recurrence Online",http://www.recurrenceonline.com/,,"ELIXIR Hungary",,,"A transcriptome-based breast tumor diagnostic tool","Balazs Gyorffy",,
REDIdb,http://srv00.recas.ba.infn.it/redidb/,,"ELIXIR Italy","Genes and genomes",,"A database annotating organellar RNA editing processes in their biological context.","Ernesto Picardi",https://bio.tools/redidb,
REDIportal,http://srv00.recas.ba.infn.it/atlas/,,"ELIXIR Italy","Genes and genomes",,"A database of RNA editing events in humans from RNA-Seq and DNA-Seq data.","Ernesto Picardi",https://bio.tools/rediportal,
REDItools,https://github.com/BioinfoUNIBA/REDItools,,"ELIXIR Italy","Genes and genomes",,"Python scripts developed with the aim to study RNA editing at genomic scale by next generation sequencing data.","Ernesto Picardi",https://bio.tools/reditools,
Redundans,https://github.com/Gabaldonlab/redundans,,"ELIXIR Spain",,,"Redundans is a pipeline that assists the assembly of heterozygous genomes. It takes as input assembled contigs, sequencing libraries and/or reference sequence and returns scaffolded homozygous genome assembly. ",,https://bio.tools/redundans,
ReferenceSeeker,https://github.com/oschwengers/referenceseeker,,"ELIXIR Germany","Genes and genomes",,"ReferenceSeeker determines closely-related reference genomes following a scalable hierarchical approach. It combines a fast kmer profile-based database lookup of candidate reference genomes and subsequent computation of specific average nucleotide identity (ANI) values.",,https://bio.tools/ReferenceSeeker,
"Regulatory Sequence Analysis Tools Plants (RSAT Plants)",https://rsat.eead.csic.es/plants,,"ELIXIR Spain","Genes and genomes",,"Tools to analyse cis-regulatory elements in genome sequences",,,
ReMap,https://remap.univ-amu.fr/,,"ELIXIR France","Genes and genomes",,"ReMap is a manually curated knowledge base of transcriptional regulatory binding, built on standardized data processing and large-scale integrative analysis of DNA-binding data.","Benoit Ballester",,
RepeatExplorer,http://www.repeatexplorer.org/,,"ELIXIR Czech Republic","Genes and genomes",,"Set of tools and a web server for complex characterization of repetitive DNA based on data from next generation of sequence reads.","Jiří Macas",https://bio.tools/repeat_explorer,
RepeatsDB,http://repeatsdb.bio.unipd.it/,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"A database of annotated tandem repeat protein structures, combining computer-based methods and manual curation.","Silvio Tosatto",https://bio.tools/repeatsdb,https://fairsharing.org/FAIRsharing.pxnqyt
REPET,https://urgi.versailles.inrae.fr/Tools/REPET,,"ELIXIR France","Genes and genomes, Molecular and cellular structures",,"The REPET package integrates bioinformatics pipelines dedicated to detecte, annotate and analyse transposable elements (TEs) in genomic sequences. The main pipelines are (i) TEdenovo, which search for interspersed repeats, build consensus sequences and classify them according to TE features, and (ii) TEannot, which mines a genome with a library of TE sequences, for instance the one produced by the TEdenovo pipeline, to provide TE annotations exported into GFF3 files.","Hadi Quesneville",https://bio.tools/repet,
"Resource Entitlement Management System (REMS)",https://www.elixir-finland.org/en/aai-rems-2/,,"ELIXIR Finland",,,"A tool that can be used to manage researchers’ access rights to bioinformatics databases.",,https://bio.tools/rems,
REXdb,http://repeatexplorer.org/?page_id=918,,"ELIXIR Czech Republic",,,"REXdb: a reference database of transposable element protein domains","Petr Novak",https://bio.tools/rexdb,
Rfam,http://rfam.xfam.org/,,EMBL-EBI,"Genes and genomes",,"The Rfam database is a collection of RNA families, each represented by multiple sequence alignments, consensus secondary structures and covariance models (CMs).","Sam Griffiths-Jones",https://bio.tools/rfam,http://doi.org/10.25504/fairsharing.fex4c8
rGREAT,http://bioconductor.org/packages/devel/bioc/html/rGREAT.html,,"ELIXIR Germany",,,"rGreat is an R package which acts as a client of GREAT enrichment analysis analysis","Roland Eils",https://bio.tools/rgreat,
rhdf5/Rhdf5lib,https://github.com/grimbough/rhdf5,,"ELIXIR Germany",,,"The rhdf5 and Rhdf5lib packages combine to provide an interface between HDF5 and R. The HDF5 file format provides the ability to store and access very large and/or complex datasets and a wide variety of metadata on mass storage (disk) in a completely portable manner. The rhdf5 package is thus suited for the exchange of large and/or complex datasets between R and other software package, and for letting R applications work on datasets that are larger than the available RAM.
	In particular HDF5 is being used to address the rapid growth in the size of single-cell datasets, and rhdf5 is a cornerstone to many existing analysis tools.","Wolfgang Huber",https://bio.tools/rhdf5,
Rhea,http://www.rhea-db.org,,"ELIXIR Switzerland","Enzymes, interactions and pathways","Core Data Resources","Rhea is a comprehensive and non-redundant resource of expert-curated biochemical reactions described using species from the ChEBI (Chemical Entities of Biological Interest) ontology of small molecules. ","Ioannis Xenarios",https://bio.tools/rhea,http://doi.org/10.25504/fairsharing.pn1sr5
Riboseq.org,http://riboseq.org,,"ELIXIR Ireland",,,"A web portal dedicated to ribosome profiling (RiboSeq) data analysis. There are currently two resources with Tutorial support and a Forum for both.","Pavel Baranov",,
RING,http://protein.bio.unipd.it/ring,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Residue interaction network generator. RING identifies all types of non-covalent interactions at atomic level in a protein structure (PDB);","Silvio Tosatto",https://bio.tools/ring,
"RNA Central",https://rnacentral.org/,,EMBL-EBI,"Genes and genomes",,"RNAcentral is a free, public resource that offers integrated access to a comprehensive and up-to-date set of non-coding RNA sequences provided by a collaborating group of Expert Databases representing a broad range of organisms and RNA types.","Alex Bateman",,
"RNA Galaxy Workbench",https://hub.docker.com/r/bgruening/galaxy-rna-workbench/,,"ELIXIR Germany","Genes and genomes",,"Providing access to many NGS and RNA tools, visualisations, interactive environments (e.g. IPython) as well as various utilities, reference genomes and data libraries.","Björn Grüning",,
"RNA-seq end-to-end workflow",https://www.bioconductor.org/help/course-materials/2015/CSAMA2015/lab/rnaseqCSA…,,"ELIXIR Germany","Genes and genomes",,"End-to-end gene-level RNA-Seq differential expression workflow using Bioconductor packages. Starting from the FASTQ files are aligned to the reference genome, and a count matrix which tallies the number of RNA-seq reads/fragments within each gene for each sample is prepared. Performance of exploratory data analysis (EDA) for quality assessment and exploration of the relationship between samples, performance of differential gene expression analysis, and visual exploration of the results.","Wolfgang Huber",,
"RnBeads 2.0",https://rnbeads.org/,,"ELIXIR Germany","Genes and genomes",,"RnBeads is an R package for analysing DNA methylation data obtained with an experimental protocol that provides single-CpG resolution. ",,https://bio.tools/rnbeads,
"ROC plotter",http://www.rocplot.org,,"ELIXIR Hungary",,,"Identification and validation of predictive biomarkers based on gene expression in solid tumors","Balazs Gyorffy",,
Roddy,http://github.com/TheRoddyWMS,,"ELIXIR Germany","Genes and genomes",,"Roddy is a framework for large scale NGS processing pipelines on Petabyte scale. It is used for the management of workflows in the Pan-Cancer Analysis of Whole Genomes (PCAWG) project.","Ivo Buchhalter",https://bio.tools/roddy,
rPredictor,http://rpredictordb.elixir-czech.cz/search,,"ELIXIR Czech Republic","Genes and genomes, Molecular and cellular structures",,"Web tool for prediction of rRNA secondary structures.","Josef Pánek",https://bio.tools/rpredictor,
RSAT,http://rsat.eu/,,"ELIXIR France","Molecular and cellular structures",,"Regulatory Sequence Analysis Tools (RSAT) is a software suite combining specialised tools for the detection of regulatory signals in non-coding sequences. It includes tools for sequence retrieval, pattern discovery, pattern matching, genome-scale pattern matching, feature-map drawing, random sequence generation and other utilities. The tools can be accessed via a Web site (http:rsat.eu/), as Web services, or installed locally on Linux / Mac OS X systems.","Jacques van Helden",https://bio.tools/RSAT,
"Ruby bioinformatics toolkit (rbbt)",http://mikisvaz.github.io/rbbt,,"ELIXIR Spain","Genes and genomes",,"A framework for software development in bioinformatics. It covers three aspects:.


	Workflow wrapping the TF text-mining results from https://github.com/fnl plus other databases. 
	High Throughput Sequencing related functionalities.
	Rbbt wrapper for the Variant Effect Predictor.


Auto-downloads and installs the software.",,https://bio.tools/Rbbt,
SABIO-RK,http://sabio.h-its.org/,,"ELIXIR Germany","Enzymes, interactions and pathways",,"Web interface accessing a curated database with information about biochemical reactions and kinetic properties in an experimental or environmental context.","Wolfgang Müller",https://bio.tools/sabio-rk,
SalmoBase,https://salmobase.org/,,"ELIXIR Norway","Genes and genomes, Proteins and proteomes",,"A comprehensive data resource for salmonids species based on different omics data","Dag Inge Våge",https://bio.tools/salmobase,
"SARS-CoV-2 DB",https://covid19.sfb.uit.no/,,"ELIXIR Norway","Genes and genomes, Proteins and proteomes",,"A database with high-quality curated and freely accessible SARS-CoV-2 genomics- and contextual resources.","Nils Peder Willassen",,
sciCORE,http://scicore.unibas.ch/,,"ELIXIR Switzerland",,,"sciCORE provides a high-performance computing infrastructure, large-scale storage resources, scientific software and databases, server infrastructures and user support. It also provides expertise to scientific research groups.","Torsten Schwede",,
Scop3P,https://iomics.ugent.be/scop3p/index,,"ELIXIR Belgium","Proteins and proteomes",,"Comprehensive resource of human phosphosites within their full context.","Lennart Martens",https://bio.tools/scop3p,
SecStrAnnotator,https://sestra.ncbr.muni.cz/home,,"ELIXIR Czech Republic",,,"Annotation of secondary structure elements in proteins.","Adam Midlik",https://bio.tools/SecStrAnnotator,
SegMine,http://segmine.ijs.si/,,"ELIXIR Slovenia",,,"A tool for semantic analysis of microarray data based on a collection of workflow components for Orange4WS",,,
"Sensitive Data Services",https://research.csc.fi/en/sensitive-data,,"ELIXIR Finland",,,"For handing data that needs to be protected against unauthorized access. Protection of data may be required for


	legal reasons
	ethical reasons
	personal privacy
	proprietary considerations",,,
SIAMCAT,https://siamcat.embl.de/,,"ELIXIR Germany","Genes and genomes, Molecular and cellular structures",,"SIAMCAT is a modular framework for the statistical inference of associations between microbial communities and host phenotypes, such as disease states in clinical case-control studies. SIAMCAT is based on LASSO models, which offer distinctive advantages for model interpretation and microbial biomarker selection and avoid overfitting issues that can arise in naive combinations of feature selection and cross-validation. Part of the Microbiome Analysis Toolbox. ","Peer Bork",https://bio.tools/siamcat,
SIBiLS,https://sibils.org/,,"ELIXIR Switzerland",Literature,,"The Swiss Institute of Bioinformatics Literature Services (SIBiLS) provide personalized Information Retrieval in the biological literature. Indeed, SIBiLS allow fully customizable search in semantically enriched contents, based on keywords and/or mapped biomedical entities from a growing set of standardized and legacy vocabularies.  (https://pubmed.ncbi.nlm.nih.gov/32379317/)","Julien Gobeill",https://bio.tools/sibils,
SIDER,http://sideeffects.embl.de/,,"ELIXIR Germany","Genes and genomes, Molecular and cellular structures",,"SIDER is a web-based resource that contains information on marketed medicines and their recorded adverse drug reactions. This information is extracted from public documents and package inserts. SIDER makes available side effect frequency, drug and side effect classifications as well as links to further information, for example drug–target relations. It currently covers associations between 5,868 side effects and 1,430 drugs. Part of the Human Omics Analysis Toolbox. ","Peer Bork",https://bio.tools/sider,
SIENA,https://proteins.plus/2ozr#siena,,"ELIXIR Germany","Proteins and proteomes",,"SIENA has been developed for the automated assembly and preprocessing of protein binding site ensembles.",,https://bio.tools/siena,
SIGNOR,http://signor.uniroma2.it/,,"ELIXIR Italy","Enzymes, interactions and pathways, Molecular and cellular structures, Proteins and proteomes",,"The SIGnaling Network Open Resource annotates signaling information from the literature as binary causative relationships.","Luana Licata",https://bio.tools/signor,https://fairsharing.org/FAIRsharing.ss78t4
SILVA,https://www.arb-silva.de/,,"ELIXIR Germany","Evolution and phylogeny, Genes and genomes","Core Data Resources","SILVA provides comprehensive, quality checked and regularly updated datasets of aligned small (16S/18S, SSU) and large subunit (23S/28S, LSU) ribosomal RNA (rRNA) sequences for all three domains of life (Bacteria, Archaea and Eukarya).","Frank Oliver Glöckner",https://bio.tools/silva,http://doi.org/10.25504/fairsharing.5vtygg
SILVAngs,https://ngs.arb-silva.de/silvangs/,,"ELIXIR Germany","Evolution and phylogeny, Genes and genomes",,"Data Analysis service for ribosomal RNA","Frank Oliver Glöckner",https://bio.tools/silvangs,
SiteBinder,https://webchem.ncbr.muni.cz/Platform/App/SiteBinder,,"ELIXIR Czech Republic","Molecular and cellular structures, Proteins and proteomes",,"Web application to compare multiple protein structural motifs.","Radka Svobodová Vařeková / David Sehnal",https://bio.tools/sitebinder,
slalom,https://github.com/bioFAM/slalom,,"ELIXIR Germany",,,"slalom is a scalable modelling framework for single-cell RNA-seq data that uses gene set annotations to dissect single-cell transcriptome heterogeneity, thereby allowing identification of biological drivers of cell-to-cell variability and model confounding factors.","Oliver Stegle",https://bio.tools/slalom,
SMART,http://smart.embl-heidelberg.de/,,"ELIXIR Germany","Molecular and cellular structures, Proteins and proteomes",,"SMART (Simple Modular Architecture Research Tool) is a web resource providing simple identification and extensive annotation of protein domains via sequence homology searches. It contains manually curated models for more than 1,200 protein domains. In its ‘Genomic’ mode, it annotates proteins from completely sequenced genomes of 2,031 species as a basis for their functional annotation. It provides flexible tools to visually explore protein domain architectures across sequences and organisms. Part of the Human Omics Analysis Toolbox. ","Peer Bork",https://bio.tools/smart,
SNPmasker,https://bioinfo.ut.ee/snpmasker/,,"ELIXIR Estonia","Genes and genomes",,"SNPmasker is a program to mask all SNPs in given sequence using information of dbSNP. Additionally it is possible to mask all non-unique words using GenomeMasker module.","Maido Remm",https://bio.tools/snpmasker,
"SNPs & GO",http://snps-and-go.biocomp.unibo.it/snps-and-go/,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Prediction of single point protein mutations likely to be involved in disease.","Pier Luigi Martelli/Emidio Capriotti",https://bio.tools/snps_and_go,
SPCI,http://qsar4u.com/pages/sirms_qsar.php,,"ELIXIR Czech Republic","Chemical biology",,"Structural and physico-chemical interpretation of QSAR models",,https://bio.tools/SPCI,
SpliceAid-F,http://srv00.recas.ba.infn.it/SpliceAidF/,,"ELIXIR Italy","Genes and genomes",,"A database of RNA-binding splicing regulatory proteins reporting functional domains, protein and chemical interactors and expression data.","Graziano Pesole",https://bio.tools/spliceaid-f,
SPSP,https://spsp.ch/,,"ELIXIR Switzerland",,,"The Swiss Pathogen Surveillance Platform (SPSP) is a secure One-health online platform that enables near real-time sharing under controlled access of pathogen sequencing data and their associated clinical/epidemiological metadata.","Ioannis Xenarios, Adrian Egli",,
SQANTI,https://github.com/ConesaLab/SQANTI3,,"ELIXIR Spain","Genes and genomes",,"SQANTI3 is the first module of the [Functional IsoTranscriptomics (FIT)](https://tappas.org/) framework, which also includes IsoAnnot and tappAS.",,,
Sqtlseeker2-nf,https://github.com/guigolab/sqtlseeker2-nf,,"ELIXIR Spain","Genes and genomes, Proteins and proteomes",,"Nextflow pipeline for splicing quantitative trait loci (sQTL) mapping based on sQTLseekeR2, performing the following analysis steps:


	Index the genotype file
	Preprocess the transcript expression data
	Test for association between splicing ratios (a multivariate phenotype) and genetic variants in cis (nominal pass)
	Obtain an empirical P-value for each phenotype (permutation pass, optional)
	Control for multiple testing.",,https://bio.tools/sqtlseeker,
"sRNA Portal workflow",https://github.com/forestbiotech-lab/sRNA-Portal-workflow,,,"Genes and genomes",,"Analysis workflow for plant sRNA sequencing data.","Célia Miguel",https://bio.tools/sRNA_plant_portal,
SSAM,https://github.com/hidihlabs/SSAM,,"ELIXIR Germany",,,"Software for Spot-based Spatial cell-type Analysis by Multidimensional mRNA density estimation.",,,
SSAM-lite,https://github.com/hidihlabs/SSAM-lite,,"ELIXIR Germany",,," SSAM-lite is a lightweight, browser-based implementation of the SSAM framework. It provides the functionality of SSAMs most popular and widely used features in a graphical user interface with a few functions added for convenience and ease of use. It can be run on a modest laptop.",,https://bio.tools/ssam-lite,
STAMPS,https://stamps.isas.de/,,,"Genes and genomes",,"A validated reference peptide database for targeted proteomics. (Formerly QSDB)","Robert Ahrends",,
"Statistical consulting and analysis of proteomics data",https://www.mpc.ruhr-uni-bochum.de/service/consulting/index.html.en,,"ELIXIR Germany",,,"Either as a cooperation or consultancy service.","Martin Eisenacher",,
"Storage Services",https://elixir-italy.org/,,"ELIXIR Italy",,,"Cineca
	INFN
	GARR","Giacinto Donvito",,
STRING,http://string-db.org,,"ELIXIR Switzerland","Enzymes, interactions and pathways, Proteins and proteomes","Core Data Resources","STRING is a database of known and predicted protein-protein interactions. The database contains information from numerous sources, including experimental repositories, computational prediction methods and public text collections. ","Christian von Mering",https://bio.tools/string,http://doi.org/10.25504/fairsharing.9b7wvk
StructureProfiler,https://proteins.plus/2ozr#structurechecker,,"ELIXIR Germany","Proteins and proteomes",,"StructureProfiler is a tool to screen structures based on selection criteria typically used upon dataset assembly for structure-based design methods.",,https://bio.tools/StructureProfiler,
SulfAtlas,http://abims.sb-roscoff.fr/sulfatlas/,,"ELIXIR France","Enzymes, interactions and pathways, Evolution and phylogeny",,"SulfAtlas is a knowledge-based database which (i) helps to better annotate sulfatases in (meta)genomic data and notably to improve the prediction of substrate specificities; (ii) guides the experimental biologists to select target sulfatases which remain to be characterized in term of function and structure. The data contained in SulfAtlas is curated by experts, based on our phylogeny-based classification system and on literature.","Gurvan MICHEL",https://bio.tools/sulfatlas,
SweeD,https://github.com/alachins/sweed,,"ELIXIR Greece","Genes and genomes",,"SweeD is a high-performance computing software that detects the site of the beneficial mutation, using the Site Frequency Spectrum. It can analyze whole genome data of thousands of individuals in a few hours.","Pavlos Pavlidis",https://bio.tools/sweed,
SWICZ,http://proteom.biomed.cas.cz/,,"ELIXIR Czech Republic","Proteins and proteomes",,"Database of protein expression time series for specific experiments on streptomyces, caulobacter, neiseria.","Jiří Vohradský",https://bio.tools/swicz,http://doi.org/10.25504/fairsharing.1h7yt4
"SWISS-MODEL Repository",https://swissmodel.expasy.org/repository,,"ELIXIR Switzerland","Molecular and cellular structures, Proteins and proteomes","Core Data Resources","SWISS-MODEL Repository is a continuously updated database of annotated protein structure homology models generated by the fully automated SWISS-MODEL modelling pipeline. ","Torsten Schwede",https://bio.tools/swiss-model_repository,http://doi.org/10.25504/fairsharing.vxz9pn
"SWISS-MODEL Server",https://swissmodel.expasy.org,,"ELIXIR Switzerland","Molecular and cellular structures, Proteins and proteomes",,"SWISS-MODEL is a fully automated service for protein structure homology modelling. It provides a personal web based workspace for interactive modelling, storing project data and visualizing results online. ","Torsten Schwede",https://bio.tools/swiss-model_workspace,
SwissBioPics,https://www.swissbiopics.org/,,"ELIXIR Switzerland","Evolution and phylogeny, Genes and genomes, Proteins and proteomes",,"SwissBioPics is a freely available library of interactive biological images for visualizing subcellular location data. It includes cell types from all kingdoms of life - from muscle, neuronal and epithelial cells of animals to rods, cocci, clubs, spirals, and other more exotic forms of bacteria and archaea.",,https://bio.tools/swissbiopics,
SwissDrugDesign,https://www.molecular-modelling.ch/swiss-drug-design.html,,"ELIXIR Switzerland","Proteins and proteomes",,"SwissDrugDesign provides a collection of web-based tools covering all aspects of computer-aided drug design.","Olivier Michielin",,
SwissLipids,http://www.swisslipids.org/#/,,"ELIXIR Switzerland","Chemical biology",,"A knowledge resource for lipids and their biology.","Lucila Aimo",https://bio.tools/swisslipids,http://doi.org/10.25504/fairsharing.pxr7x2
SwissRegulon,https://swissregulon.unibas.ch/sr/swissregulon,,"ELIXIR Switzerland","Evolution and phylogeny, Genes and genomes",,"A database of genome-wide annotations of regulatory sites. It contains annotations for 17 prokaryotes and 3 eukaryotes. The database frontend offers an intuitive interface showing genomic information in a graphical form. ","Erik van Nimwegen",https://bio.tools/swissregulon,https://fairsharing.org/FAIRsharing.7fnx38
SymCurv,http://genome.crg.es/cgi-bin/SymCurv/SymCurv.pl,,"ELIXIR Greece","Genes and genomes",,"SymCurv is a computational ab initio method for nucleosome positioning prediction. It is based on the structural property of natural nucleosome forming sequences, to be symmetrically curved around a local minimum of curvature.","Christoforos Nikolau",https://bio.tools/symcurv,
"Tabloid Proteome",https://iomics.ugent.be/tabloidproteome/information.xhtml#about,,"ELIXIR Belgium","Proteins and proteomes",,"Database of protein association networks representing a broad scala of biological associations between pairs of proteins that go beyond  direct protein interactions","Lennart Martens",https://bio.tools/tabloid_proteome,
TAREAN,http://repeatexplorer.org/?page_id=826,,"ELIXIR Czech Republic",,,"TAndem REpeat ANalyzer -TAREAN – is a computational pipeline for unsupervised identification of satellite repeats from unassembled sequence reads. The pipeline uses low-pass whole genome sequence reads and performs their graph-based clustering. Resulting clusters, representing all types of repeats, are then examined for the presence of circular structures and putative satellite repeats are reported.",,https://bio.tools/tarean,
TCRex,https://tcrex.biodatamining.be/,,"ELIXIR Belgium","Proteins and proteomes",,"Web tool for the prediction of T-cell receptor epitope recognition.","Kris Laukens",https://bio.tools/TCRex,
"TeSS Training Portal",https://tess.elixir-europe.org,,"ELIXIR UK",,,"A training materials portal that helps you to discover, package and disseminate training resources. It aggregates training information from the ELIXIR nodes, and also from third-party content providers.","Terri Atwood, Susanna Assunta Sansone",https://bio.tools/tess,
TFLink,https://tflink.net/,,"ELIXIR Hungary","Proteins and proteomes",,"Transcription factor - target gene interaction and binding site database for multiple species",,https://bio.tools/tflink,
"The B6 database",http://bioinformatics.unipr.it/cgi-bin/bioinformatics/B6db/home.pl,,"ELIXIR Italy","Enzymes, interactions and pathways, Proteins and proteomes",,"Contains tools for the functional classification of PLP-dependent enzymes in predicted protein sequences.","Riccardo Percudani",https://bio.tools/b6db,
"The European Nucleotide Archive (ENA)",https://www.ebi.ac.uk/ena/,,EMBL-EBI,"Genes and genomes","Core Data Resources, ELIXIR Deposition Databases","The European Nucleotide Archive (ENA) contains all the nucleotide sequences in the public domain and consolidates data from EMBL-Bank, the European Trace Archive and the Sequence Read Archive.","Rasko Leinonen",https://bio.tools/ena,http://doi.org/10.25504/fairsharing.dj8nt8
"The Genomic HyperBrowser",https://hyperbrowser.uio.no/hb/,,"ELIXIR Norway","Genes and genomes",,"A web-based system for finding and testing relations between high-throughput sequencing and/or other genomic datasets (tracks), making use of statistical hypothesis testing and other advanced methodology.","Eivind Hovig",https://bio.tools/genomic_hyperbrowser,
"The Ontology Lookup Service (OLS)",http://www.ebi.ac.uk/ontology-lookup,,EMBL-EBI,,"Recommended Interoperability Resources","The Ontology Lookup Service (OLS) provides a web service interface to query multiple ontologies from a single location with a unified output format.","Rolf Apweiler, Henning Hermjakob",https://bio.tools/ols,
TmAlphaFold,https://tmalphafold.ttk.hu/,,"ELIXIR Hungary","Proteins and proteomes",,"Database of membrane localization of transmembrane protein structures estimated by AlphaFold2",,https://bio.tools/tmalphafold_database,
TMCrys,http://tmcrys.enzim.ttk.mta.hu/,,"ELIXIR Hungary","Proteins and proteomes",,"A method for estimating the crystallizability of transmembrane proteins",,https://bio.tools/tmcrys,
TMDet,https://tmdet.unitmp.org/,,"ELIXIR Hungary","Molecular and cellular structures, Proteins and proteomes",,"Detection of transmembrane regions using 3D protein structure",,,
TNMplot,https://tnmplot.com/analysis/,,"ELIXIR Hungary","Genes and genomes, Molecular and cellular structures",,"Differential gene expression analysis in tumour, normal and metastatic tissues",,https://bio.tools/tnmplot,
"Toolbox for Large Scale Genomics",https://www.dkfz.de/en/forschung/zentrale_einrichtungen/cf-omics/CF_omics.html,,,,,"Based on ICGC PanCancer infrastructure for organising and processing NGS data using workflow plugins including:  


	Workflow Plug-Ins - provide pipelines for the most common NGS processing tasks, including alignment (WES, WGS, WGBS, RNA-seq), quality control and variant calling (SNV, indel, CNV, SV).
	Cloud/HPC - IT Infrastructure for de.NBI users based on ICGC and TCGA PanCancer technology
	OTP - ""One Touch Pipeline"" is a comprehensive framework for NGS project organization and processing.
	Roddy - a framework for large scale NGS processing pipelines on Petabyte scale for the management of workflows in the Pan-Cancer Analysis of Whole Genomes (PCAWG) project.","Ivo Buchhalter, Michael Boutros, Rob Russell, Roland Eils",https://bio.tools/roddy,
"Tools for FAIRification",https://www.dtls.nl/fair-data/find-fair-data-tools/,,"ELIXIR Netherlands",,,"Diverse tools under development, in use in BYOD events to facilitate making data FAIR using linked data technology.","Luiz Bonino/Chris Evelo",,
TOPDB,https://topdb.unitmp.org,,"ELIXIR Hungary","Proteins and proteomes",,"Database of experimentally determined topological data of transmembrane proteins",,,
TOPP,https://openms.de/keyfeatures/metabolomics/,,"ELIXIR Germany","Proteins and proteomes",,"The OpenMS Proteomics Pipeline making a range of tools available, including MetaProSIP and TOPPview. ","Oliver Kohlbacher",https://bio.tools/openms,
TOPPView,https://www.openms.de/,,"ELIXIR Germany","Proteins and proteomes",,"Visualising own data through OpenMS tools, including spectra, chromatograms, 2D LC-MS data and annotations. ","Oliver Kohlbacher",,
"Training (ELIXIR Estonia)",https://elixir.ut.ee/training,,"ELIXIR Estonia",,,"Training events about tools developed in ELIXIR-EE (usually g:Profiler, MEM, ClustVis are taught).","Jaak Vilo",,
"Training (ELIXIR Finland)",https://www.csc.fi/web/training,,"ELIXIR Finland",,,"Courses in bioinformatics and HPC at CSC are open for academics, government and industry participants.","Jussi Enkovaara / Eija Korpelainen",,
"Training (ELIXIR Italy)",https://elixir-italy.org/,,"ELIXIR Italy",,,"Bioinformatics tools and resources
	Computational skills
	(bio)data science
	Data management, annotation and analysis
	Data interoperability and FAIRification
	bio.tools and Bioschemas","Allegra Via",,
"Training (ELIXIR Luxembourg)",https://elixir-luxembourg.org/training,,"ELIXIR Luxembourg",,,"Training provided by ELIXIR-LU focuses on the usage of the Node services, data management, efficient use of high-performance computing to analyse complex biomedical data, and reproducibility in research.",,,
"Training (ELIXIR Netherlands)",https://www.dtls.nl/elixir-nl/elixir-nl-2/training-education/,,"ELIXIR Netherlands",,,"Most of the training organised in DTL/ELIXIR-NL and the associated Dutch research school on bioinformatics and systems biology (BioSB) are open to participants from any ELIXIR country. Training and training materials available are listed on dtls.nl and TeSS. Training and materials are developed on a diverse range of topics, including specific bioinformatics skills and workflows, as well as generic FAIR data knowledge and data stewardship.","Celia van Gelder",,
"Training (ELIXIR Slovenia)",https://elixir-slovenia.org/,,"ELIXIR Slovenia",,,"Interdisciplinary trainings in post‐genome technologies and computation",,,
"Training (ELIXIR Switzerland)",http://www.sib.swiss/training,,"ELIXIR Switzerland",,,"SIB Training offers courses and workshops on various bioinformatics and data science-related fields to life scientists, clinicians and bioinformaticians. ","Patricia Palagi",,
"Training (ELIXIR-BE)",https://www.elixir-belgium.org/training,,"ELIXIR Belgium",,,"Courses providing fundamental data skills for research, basic skills for research computing, and knowledge for research data management and ELIXIR Belgium’s Node Services.","Alexander Botzki",,
"Training Course Data Stewardship",https://www.denbi.de/,,,,,"Either as a cooperation or consultancy service.","Christoph Steinbeck",,
"Training Course RDM",https://www.denbi.de/,,,,,"Either as a cooperation or consultancy service.

contact [at] denbi.de","Christoph Steinbeck",,
"Training Metrics Database",https://tmd.elixir-europe.org.,,"ELIXIR Sweden",,,"The Training Metrics Database  aims to describe the audience demographic being reached by ELIXIR training events, assess the quality of the training events  after they have taken place, and evaluate the long-term impact that the training events have had on the work of training participants.","Nina Norgren",,
"Translational Medicine Data Catalog (TMDC)",https://datacatalog.elixir-luxembourg.org/,,"ELIXIR Luxembourg",,,"This catalogue lists available Translational Medicine datasets, coming from academic and industry research projects as well as from clinical cohorts and genome consortia. ",,https://bio.tools/tdmc,
TRAVeLer,https://github.com/davidhoksza/traveler,,"ELIXIR Czech Republic","Genes and genomes, Proteins and proteomes",,"Template-based RNA secondary structure visualization.","David Hoksza",https://bio.tools/traveler,
